"ArcticTundra,An ice age has struck your planet, most of the surface is arctic tundra and will take thousands of years to thaw."
"ArcticTundra,Your planet is slowly thawing out of an ice age, a period of time where the whole planet freezes."
"ArcticTundra,Your planet is very far away from the sun, causing little heat and light to reach it."
"Oceania,Your planet has just thawed out of an Ice Age, causing most of the planet to be covered in water."
"Oceania,The water covering your planet supports many types of life below the surface."
"Oceania,The aquatic life below the surface of the water thrives because of the nutrients that the volcanoes give off."
"Savanna,There is a complex food chain of many different types of predators and prey roaming throughout the rolling savannahs."
"Savanna,The main biome of your planet, savannah, is also called tropical grasslands."
"Savanna,A variety of animals can survive in the savannahs of your planet."
"TaigaForest,The large coniferous trees on your planet are resilient to the cold conditions that your planet has."
"TaigaForest,The majority of the trees on your planet are similar to pine trees."
"TaigaForest,The Taiga Forests of your planet are also known as boreal forests."
"TemperateDesert,The surface of your planet is dry and hot, this formed many deserts over the years."
"TemperateDesert,Your planet is close to the sun, causing the surface to be dry and hot."
"TemperateDesert,Little life lives on your planet due to the hot dry climate."
"TemperateForest,The forests on your planet support many forms of life."
"TemperateForest,The dense forests cover most of your planet's surface, blocking most light from reaching the ground."
"TemperateForest,The food on your planet is plentiful due to the number of trees that produce fruit."
"TemperateGrasslands,The amount of rain in the grasslands of your planet is not enough to grow tall trees but supports life."
"TemperateGrasslands,The grasslands on your planet are Temperate, this means that they have full summer and winter seasons."
"TemperateGrasslands,Large Bison-Like creatures inhabit the grasslands of your planet."
"TropicalDesert,The massive tropical deserts make your planet is one of the hottest and driest in its system."
"TropicalDesert,The deserts on your planet are almost purely sand, except for the green oasis."
"TropicalDesert,Little to no rain ever falls on your planet due to the hot dry climate produced by the desert."
"Terrestrial_Atmospheric,The ___ color of the atmosphere of your planet is caused by particles in the air that were given off by a volcanic eruption many earth years ago."
"Terrestrial_Atmospheric,The thick clouds on your planet are because of evaporating water, this is part of the water cycle."
"Terrestrial_Atmospheric,The atmosphere of your planet is like a blanket, it helps retain the heat from the sun."
"Terrestrial_Other,The animals that once lived on your planet have recently evolved into smarter human-like creatures."
"Terrestrial_Other,There are many caves on your planet, This indicated that biomes might go below the surface."
"Terrestrial_Other,Many of the aquatic animals on your planet have died causing the ocean floor to have any fossils."
